file_name,type,category,duration_sec,description,ai_prompt
reward_common.mp3,sound_effect,reward,1,"Common reward sound, subtle and pleasant","Create a short, subtle chime sound that feels rewarding but modest. Use traditional Chinese instruments like a small bell or gentle guzheng pluck. The sound should be light and pleasant, suitable for receiving a common reward in a game."
reward_uncommon.mp3,sound_effect,reward,1.2,"Uncommon reward sound, more noticeable than common","Create a slightly more pronounced reward sound using traditional Chinese instruments. Include a brief sequence of 2-3 ascending notes on a guzheng or pipa. The sound should feel more special than a common reward but not overly dramatic."
reward_rare.mp3,sound_effect,reward,1.5,"Rare reward sound, distinctive and exciting","Create an exciting reward sound using traditional Chinese instruments. Use a sequence of ascending notes on a guzheng with a small cymbal at the end. The sound should convey that something special has been earned, with a sense of achievement."
reward_epic.mp3,sound_effect,reward,2,"Epic reward sound, impressive and memorable","Create a dramatic reward sound using traditional Chinese instruments. Include a quick ascending melody on a guzheng or pipa with bamboo flute accents. Add a small gong at the end. The sound should feel impressive and memorable, suitable for a major achievement."
reward_legendary.mp3,sound_effect,reward,2.5,"Legendary reward sound, grand and celebratory","Create a grand, celebratory sound using traditional Chinese instruments. Include a dramatic ascending melody with guzheng, erhu, and bamboo flute, culminating in a resonant gong. The sound should convey that something extremely rare and valuable has been earned."
task_complete.mp3,sound_effect,task,1,"Basic task completion sound, simple and satisfying","Create a simple, satisfying sound for completing a basic task. Use a quick sequence of 2-3 notes on a guzheng or wooden percussion. The sound should be light and positive but not overly celebratory."
task_complete_high.mp3,sound_effect,task,1.3,"High priority task completion sound, more significant","Create a more significant task completion sound. Use a sequence of 3-4 notes on traditional Chinese instruments with a slightly more pronounced ending. The sound should convey more importance than a basic task completion."
task_complete_main.mp3,sound_effect,task,1.8,"Main quest completion sound, important and rewarding","Create an important task completion sound using traditional Chinese instruments. Include a short melody with guzheng and bamboo flute that feels rewarding and significant. The sound should convey that a major objective has been accomplished."
task_failed.mp3,sound_effect,task,1,"Task failure sound, gentle disappointment without being harsh","Create a gentle sound indicating failure or incompletion. Use a descending sequence of 2-3 notes on a guzheng or wooden percussion. The sound should convey mild disappointment without being harsh or punishing."
task_created.mp3,sound_effect,task,0.8,"Task creation sound, light and positive","Create a light, positive sound for creating a new task. Use a simple ascending note or two on a guzheng or small bell. The sound should be subtle but encouraging, indicating that something new has been started."
challenge_complete.mp3,sound_effect,challenge,1.5,"Challenge completion sound, triumphant but modest","Create a triumphant but modest sound for completing a challenge. Use a sequence of ascending notes on traditional Chinese instruments ending with a small cymbal or chime. The sound should convey accomplishment and satisfaction."
challenge_complete_epic.mp3,sound_effect,challenge,2,"Epic challenge completion sound, more dramatic","Create a more dramatic sound for completing a difficult challenge. Use a sequence of ascending notes on traditional Chinese instruments with a pronounced finale including a small gong. The sound should convey significant accomplishment."
challenge_complete_legendary.mp3,sound_effect,challenge,2.5,"Legendary challenge completion sound, grand and impressive","Create a grand, impressive sound for completing the most difficult challenges. Use a dramatic sequence on traditional Chinese instruments including guzheng, erhu, and bamboo flute, ending with a resonant gong. The sound should convey major achievement and triumph."
challenge_failed.mp3,sound_effect,challenge,1.2,"Challenge failure sound, disappointed but encouraging","Create a sound indicating challenge failure that conveys disappointment but remains encouraging. Use a brief descending sequence on traditional Chinese instruments that doesn't feel too negative. The sound should suggest 'try again' rather than defeat."
challenge_unlocked.mp3,sound_effect,challenge,1.3,"Challenge unlock sound, intriguing and inviting","Create an intriguing, inviting sound for unlocking a new challenge. Use a sequence of mysterious notes on traditional Chinese instruments that builds curiosity. The sound should feel like a new opportunity has appeared."
level_up.mp3,sound_effect,system,2,"Level up sound, celebratory and uplifting","Create a celebratory, uplifting sound for leveling up or major progression. Use an ascending sequence on traditional Chinese instruments including guzheng, bamboo flute, and a small gong at the end. The sound should convey achievement and growth."
ability_unlocked.mp3,sound_effect,system,1.5,"Ability unlock sound, magical and empowering","Create a magical, empowering sound for unlocking a new ability. Use a sequence of sparkling notes on traditional Chinese instruments with a mystical quality. The sound should convey that new powers or capabilities have been gained."
ability_activated.mp3,sound_effect,system,1,"Ability activation sound, energetic and distinctive","Create an energetic, distinctive sound for activating a special ability. Use a quick sequence of notes on traditional Chinese instruments with a dynamic quality. The sound should be recognizable as a power or ability being used."
button_click.mp3,sound_effect,system,0.2,"Button click sound, subtle and satisfying","Create a very short, subtle click sound using traditional materials like wood or bamboo. The sound should be satisfying but not distracting, suitable for frequent UI interactions."
error.mp3,sound_effect,system,0.5,"Error sound, gentle alert without being harsh","Create a gentle alert sound that indicates an error. Use a short sequence of 2 notes on traditional Chinese instruments that sounds cautionary but not harsh or alarming. The sound should clearly indicate 'cannot do this' without being unpleasant."
