节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
ShopPage,,Node,,,商店页根节点,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
ShopBackground,ShopPage,Sprite,,shop_bg.png,商店页背景,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A luxurious traditional Chinese marketplace background in ink painting style. The scene features elegant decorative elements, subtle light rays, and a warm atmosphere with soft gold and jade green tones. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ResourceBar,ShopPage,Node,,,资源栏,0,600,750,100,0.5,0.5,255,true,1,1,0,horizontal,10,20,,,,,,,,,,,,,,,,,"N/A"
ResourceBarBg,ResourceBar,Sprite,,resource_bar_bg.png,资源栏背景,0,0,750,100,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"An elegant resource bar background in Chinese ink painting style. The bar has a subtle rice paper texture with traditional decorative elements and soft jade green gradient. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
CoinContainer,ResourceBar,Node,,,金币容器,-250,0,150,80,0.5,0.5,255,true,1,1,0,horizontal,5,10,,,,,,,,,,,,,,,,,"N/A"
CoinIcon,CoinContainer,Sprite,,coin_icon.png,金币图标,-50,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A golden coin icon in Chinese ink painting style. The coin has traditional Chinese patterns with flowing brush strokes and metallic gold effect. Subtle particle effects surround the coin. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
CoinLabel,CoinContainer,Label,,,金币数量,20,0,80,60,0,0.5,255,true,1,1,0,,,,24,#FFD700,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a numerical value, with subtle golden glow effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
DiamondContainer,ResourceBar,Node,,,钻石容器,0,0,150,80,0.5,0.5,255,true,1,1,0,horizontal,5,10,,,,,,,,,,,,,,,,,"N/A"
DiamondIcon,DiamondContainer,Sprite,,diamond_icon.png,钻石图标,-50,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A diamond icon in Chinese ink painting style. The diamond has a crystalline appearance with flowing brush strokes and blue-white color effect. Subtle particle effects surround the diamond. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
DiamondLabel,DiamondContainer,Label,,,钻石数量,20,0,80,60,0,0.5,255,true,1,1,0,,,,24,#00BFFF,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a numerical value, with subtle blue glow effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
LuckyPointContainer,ResourceBar,Node,,,幸运点容器,250,0,150,80,0.5,0.5,255,true,1,1,0,horizontal,5,10,,,,,,,,,,,,,,,,,"N/A"
LuckyPointIcon,LuckyPointContainer,Sprite,,lucky_point_icon.png,幸运点图标,-50,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A star-shaped lucky point icon in Chinese ink painting style. The star has flowing brush strokes with golden-yellow color effect. Subtle particle effects surround the star. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
LuckyPointLabel,LuckyPointContainer,Label,,,幸运点数量,20,0,80,60,0,0.5,255,true,1,1,0,,,,24,#FFA500,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a numerical value, with subtle golden glow effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
CategoryContainer,ShopPage,Node,,,分类容器,0,500,700,100,0.5,0.5,255,true,1,1,0,horizontal,10,20,,,,,,,,,,,,,,,,,"N/A"
PandaItemsCategory,CategoryContainer,Button,Button,panda_items_category.png,熊猫物品分类,-250,0,150,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,PandaItemsCategory,,,,,,,"A traditional Chinese style category button in active state. The button has elegant brush stroke borders with cloud pattern decorative elements and a jade green gradient background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
PandaItemsLabel,PandaItemsCategory,Label,,,熊猫物品文本,0,0,130,60,0.5,0.5,255,true,1,1,0,,,,22,#FFFFFF,center,none,26,,,,,,,,,,,"A horizontal ink stroke suggesting a category label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
HomeItemsCategory,CategoryContainer,Button,Button,home_items_category.png,家园物品分类,-80,0,150,80,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.1,HomeItemsCategory,,,,,,,"A traditional Chinese style category button in inactive state. The button has elegant brush stroke borders with subtle decorative elements and a muted gray background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
HomeItemsLabel,HomeItemsCategory,Label,,,家园物品文本,0,0,130,60,0.5,0.5,255,true,1,1,0,,,,22,#333333,center,none,26,,,,,,,,,,,"A horizontal ink stroke suggesting a category label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ConsumablesCategory,CategoryContainer,Button,Button,consumables_category.png,消耗品分类,80,0,150,80,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.1,ConsumablesCategory,,,,,,,"A traditional Chinese style category button in inactive state. The button has elegant brush stroke borders with subtle decorative elements and a muted gray background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ConsumablesLabel,ConsumablesCategory,Label,,,消耗品文本,0,0,130,60,0.5,0.5,255,true,1,1,0,,,,22,#333333,center,none,26,,,,,,,,,,,"A horizontal ink stroke suggesting a category label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
VipCategory,CategoryContainer,Button,Button,vip_category.png,VIP分类,250,0,150,80,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.1,VipCategory,,,,,,,"A luxurious Chinese style category button in inactive state. The button has elegant brush stroke borders with subtle golden decorative elements and a muted gray background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
VipLabel,VipCategory,Label,,,VIP文本,0,0,130,60,0.5,0.5,255,true,1,1,0,,,,22,#333333,center,none,26,,,,,,,,,,,"A horizontal ink stroke suggesting a category label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ShopItemsContainer,ShopPage,Node,,,商品容器,0,0,700,900,0.5,0.5,255,true,1,1,0,vertical,10,20,,,,,,,,,,,,,,,,,"N/A"
ShopItemsScrollView,ShopItemsContainer,ScrollView,,,商品滚动视图,0,0,700,900,0.5,0.5,255,true,1,1,0,vertical,10,20,,,,,,,,,,,,,,,,,"N/A"
ShopItemsGrid,ShopItemsScrollView,Node,,,商品网格,0,0,700,900,0.5,0.5,255,true,1,1,0,grid,10,20,,,,,,,,,,,,,,,,,"N/A"
ShopItem1,ShopItemsGrid,Node,,,商品项1,-200,300,200,250,0.5,0.5,255,true,1,1,0,vertical,5,10,,,,,,,,,,,,,,,,,"N/A"
ShopItemBg1,ShopItem1,Sprite,,shop_item_bg.png,商品背景1,0,0,200,250,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A shop item card in Chinese ink painting style. The card has a traditional scroll or plaque design with elegant brush stroke borders and subtle rice paper texture. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ShopItemImage1,ShopItem1,Sprite,,shop_item_image_1.png,商品图片1,0,70,150,150,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A bamboo accessory item in Chinese ink painting style. The item has flowing brush strokes with varying opacity and a subtle jade green tint. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ShopItemName1,ShopItem1,Label,,,商品名称1,0,0,180,40,0.5,0.5,255,true,1,1,0,,,,20,#1A5F4A,center,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting an item name text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ShopItemPrice1,ShopItem1,Node,,,商品价格1,0,-40,100,30,0.5,0.5,255,true,1,1,0,horizontal,0,5,,,,,,,,,,,,,,,,,"N/A"
