节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
LoginRegisterScreen,,Node,,,登录注册页根节点,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
LoginBackground,LoginRegisterScreen,Sprite,,login_bg.png,登录页背景,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A serene water ink mountain landscape background in traditional Chinese painting style. The scene features misty mountains, subtle bamboo elements, and a peaceful atmosphere with soft jade green and light blue tones. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
LoginContainer,LoginRegisterScreen,Node,,,登录内容容器,0,0,650,900,0.5,0.5,255,true,1,1,0,vertical,20,30,,,,,,,,,,,,,,,,,"N/A"
LogoArea,LoginContainer,Node,,,Logo区域,0,350,300,200,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
LoginLogo,LogoArea,Sprite,,login_logo.png,登录页Logo,0,0,250,150,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A stylized panda logo in Chinese ink painting style with subtle animation effects. The panda has a gentle, welcoming expression and is surrounded by delicate bamboo elements. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
InputArea,LoginContainer,Node,,,输入区域,0,100,500,300,0.5,0.5,255,true,1,1,0,vertical,0,30,,,,,,,,,,,,,,,,,"N/A"
UsernameInput,InputArea,Node,,,用户名输入框容器,0,0,500,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
UsernameInputBg,UsernameInput,Sprite,,input_bg.png,用户名输入框背景,0,0,500,80,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"An elegant rectangular input field with traditional Chinese decorative border. The field has a subtle rice paper texture background with ink wash effects at the edges. When activated, it has a water ink diffusion animation effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
UsernameIcon,UsernameInput,Sprite,,username_icon.png,用户名图标,-220,0,40,40,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A user profile icon in Chinese ink painting style. The icon depicts a simple human silhouette or traditional Chinese seal design representing a person. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
UsernameLabel,UsernameInput,Label,,,用户名输入框,0,0,450,60,0.5,0.5,255,true,1,1,0,,,,24,#333333,left,none,28,,,,,,,,,,,"A subtle horizontal line suggesting input text area, with very light ink wash effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
PasswordInput,InputArea,Node,,,密码输入框容器,0,-110,500,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
PasswordInputBg,PasswordInput,Sprite,,input_bg.png,密码输入框背景,0,0,500,80,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"An elegant rectangular input field with traditional Chinese decorative border. The field has a subtle rice paper texture background with ink wash effects at the edges. When activated, it has a water ink diffusion animation effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
PasswordIcon,PasswordInput,Sprite,,password_icon.png,密码图标,-220,0,40,40,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A lock icon in Chinese ink painting style. The icon depicts a traditional Chinese lock design with flowing brush strokes. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
PasswordLabel,PasswordInput,Label,,,密码输入框,0,0,450,60,0.5,0.5,255,true,1,1,0,,,,24,#333333,left,none,28,,,,,,,,,,,"A subtle horizontal line suggesting input text area, with very light ink wash effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
