节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
PandaJourneyPage,,Node,,,熊猫成长/旅程页根节点,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
JourneyBackground,PandaJourneyPage,Sprite,,journey_bg.png,旅程页背景,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A dynamic mountain landscape in traditional Chinese ink painting style. The scene features misty mountains, flowing water, and subtle bamboo elements with a serene atmosphere. The background has soft jade green and light blue tones with gentle animation effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
TabContainer,PandaJourneyPage,Node,,,标签页容器,0,550,700,100,0.5,0.5,255,true,1,1,0,horizontal,10,20,,,,,,,,,,,,,,,,,"N/A"
GrowthPathTab,TabContainer,Button,Button,growth_path_tab.png,成长之路标签,-200,0,200,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,GrowthPathTab,,,,,,,"A traditional Chinese scroll tab design in active state. The tab has elegant brush stroke borders with cloud pattern decorative elements and a jade green gradient background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
GrowthPathLabel,GrowthPathTab,Label,,,成长之路文本,0,0,180,60,0.5,0.5,255,true,1,1,0,,,,24,#FFFFFF,center,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a tab label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MilestoneTab,TabContainer,Button,Button,milestone_tab.png,里程碑标签,0,0,200,80,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.1,MilestoneTab,,,,,,,"A traditional Chinese scroll tab design in inactive state. The tab has elegant brush stroke borders with subtle decorative elements and a muted gray background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MilestoneLabel,MilestoneTab,Label,,,里程碑文本,0,0,180,60,0.5,0.5,255,true,1,1,0,,,,24,#333333,center,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a tab label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
AchievementTab,TabContainer,Button,Button,achievement_tab.png,成就标签,200,0,200,80,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.1,AchievementTab,,,,,,,"A traditional Chinese scroll tab design in inactive state. The tab has elegant brush stroke borders with subtle decorative elements and a muted gray background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
AchievementLabel,AchievementTab,Label,,,成就文本,0,0,180,60,0.5,0.5,255,true,1,1,0,,,,24,#333333,center,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a tab label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ContentContainer,PandaJourneyPage,Node,,,内容容器,0,0,700,900,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"

GrowthPathContent,ContentContainer,Node,,,成长之路内容,0,0,700,900,0.5,0.5,255,true,1,1,0,vertical,20,30,,,,,,,,,,,,,,,,,"N/A"
