节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
SubscriptionPage,,Node,,,订阅选择页根节点,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
SubscriptionBackground,SubscriptionPage,Sprite,,subscription_bg.png,订阅选择背景,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A luxurious traditional Chinese palace background in ink painting style. The scene features elegant decorative elements, subtle light rays, and a warm atmosphere with soft gold and red tones. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BackButton,SubscriptionPage,Button,Button,back_btn.png,返回按钮,-330,600,80,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,BackButton,,,,,,,"A traditional Chinese style back button with soft rounded corners and subtle decorative elements. The button has a jade green gradient with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BackIcon,BackButton,Sprite,,back_icon.png,返回图标,0,0,40,40,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A back arrow icon in Chinese ink painting style. The arrow has flowing brush strokes with varying opacity. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
TitleContainer,SubscriptionPage,Node,,,标题容器,0,550,500,100,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
TitleBg,TitleContainer,Sprite,,vip_title_bg.png,标题背景,0,0,500,100,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A luxurious title plaque in Chinese ink painting style. The plaque has a traditional design with elegant brush stroke borders, golden decorative elements, and subtle particle effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
Title,TitleContainer,Label,,,标题,0,0,400,80,0.5,0.5,255,true,1,1,0,,,,32,#B8860B,center,none,36,,,,,,,,,,,"A horizontal ink stroke suggesting a subscription title text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
VIPBadgeLarge,TitleContainer,Sprite,,vip_badge_large.png,VIP标识,-180,0,80,80,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A large luxurious VIP badge in Chinese ink painting style with golden elements. The badge has an elegant shape with flowing brush strokes and subtle particle effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
DescriptionContainer,SubscriptionPage,Node,,,描述容器,0,450,650,100,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
DescriptionBg,DescriptionContainer,Sprite,,description_bg.png,描述背景,0,0,650,100,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A description card in Chinese ink painting style. The card has a traditional scroll or plaque design with elegant brush stroke borders and subtle rice paper texture. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
Description,DescriptionContainer,Label,,,描述,0,0,600,80,0.5,0.5,255,true,1,1,0,,,,22,#333333,center,none,26,,,,,,,,,,,"A horizontal ink stroke suggesting a description text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
PlansContainer,SubscriptionPage,Node,,,套餐容器,0,150,700,600,0.5,0.5,255,true,1,1,0,vertical,20,30,,,,,,,,,,,,,,,,,"N/A"
MonthlyPlanContainer,PlansContainer,Node,,,月度套餐容器,0,200,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
MonthlyPlanBg,MonthlyPlanContainer,Sprite,,plan_bg.png,月度套餐背景,0,0,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A subscription plan card in Chinese ink painting style. The card has a traditional scroll or plaque design with elegant brush stroke borders and subtle rice paper texture. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MonthlyPlanTitle,MonthlyPlanContainer,Label,,,月度套餐标题,-250,50,150,40,0,0.5,255,true,1,1,0,,,,24,#B8860B,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a plan title text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MonthlyPlanDesc,MonthlyPlanContainer,Label,,,月度套餐描述,-250,0,300,40,0,0.5,255,true,1,1,0,,,,20,#333333,left,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a plan description text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MonthlyPlanPrice,MonthlyPlanContainer,Label,,,月度套餐价格,150,0,150,40,0,0.5,255,true,1,1,0,,,,24,#B8860B,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a price text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MonthlyPlanSelectButton,MonthlyPlanContainer,Button,Button,plan_select_btn.png,月度套餐选择按钮,250,0,100,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,MonthlyPlanSelectButton,,,,,,,"A traditional Chinese style button with soft rounded corners and subtle decorative elements. The button has a jade green gradient with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MonthlyPlanSelectLabel,MonthlyPlanSelectButton,Label,,,月度套餐选择文本,0,0,100,60,0.5,0.5,255,true,1,1,0,,,,20,#FFFFFF,center,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a select button text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanContainer,PlansContainer,Node,,,季度套餐容器,0,30,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
QuarterlyPlanBg,QuarterlyPlanContainer,Sprite,,plan_bg.png,季度套餐背景,0,0,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A subscription plan card in Chinese ink painting style. The card has a traditional scroll or plaque design with elegant brush stroke borders and subtle rice paper texture. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanTitle,QuarterlyPlanContainer,Label,,,季度套餐标题,-250,50,150,40,0,0.5,255,true,1,1,0,,,,24,#B8860B,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a plan title text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanDesc,QuarterlyPlanContainer,Label,,,季度套餐描述,-250,0,300,40,0,0.5,255,true,1,1,0,,,,20,#333333,left,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a plan description text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanPrice,QuarterlyPlanContainer,Label,,,季度套餐价格,150,0,150,40,0,0.5,255,true,1,1,0,,,,24,#B8860B,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a price text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanDiscount,QuarterlyPlanContainer,Label,,,季度套餐折扣,150,-30,150,30,0,0.5,255,true,1,1,0,,,,18,#FF4500,left,none,22,,,,,,,,,,,"A horizontal ink stroke suggesting a discount text with red color, with varying thickness to create a natural handwritten appearance. The stroke has subtle red glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanSelectButton,QuarterlyPlanContainer,Button,Button,plan_select_btn.png,季度套餐选择按钮,250,0,100,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,QuarterlyPlanSelectButton,,,,,,,"A traditional Chinese style button with soft rounded corners and subtle decorative elements. The button has a jade green gradient with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
QuarterlyPlanSelectLabel,QuarterlyPlanSelectButton,Label,,,季度套餐选择文本,0,0,100,60,0.5,0.5,255,true,1,1,0,,,,20,#FFFFFF,center,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a select button text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanContainer,PlansContainer,Node,,,年度套餐容器,0,-140,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
YearlyPlanBg,YearlyPlanContainer,Sprite,,plan_bg_recommended.png,年度套餐背景,0,0,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A recommended subscription plan card in Chinese ink painting style. The card has a traditional scroll or plaque design with elegant brush stroke borders, golden decorative elements, and subtle particle effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanTitle,YearlyPlanContainer,Label,,,年度套餐标题,-250,50,150,40,0,0.5,255,true,1,1,0,,,,24,#B8860B,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a plan title text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanDesc,YearlyPlanContainer,Label,,,年度套餐描述,-250,0,300,40,0,0.5,255,true,1,1,0,,,,20,#333333,left,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a plan description text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanPrice,YearlyPlanContainer,Label,,,年度套餐价格,150,0,150,40,0,0.5,255,true,1,1,0,,,,24,#B8860B,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a price text with golden color, with varying thickness to create a natural handwritten appearance. The stroke has subtle golden glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanDiscount,YearlyPlanContainer,Label,,,年度套餐折扣,150,-30,150,30,0,0.5,255,true,1,1,0,,,,18,#FF4500,left,none,22,,,,,,,,,,,"A horizontal ink stroke suggesting a discount text with red color, with varying thickness to create a natural handwritten appearance. The stroke has subtle red glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanSelectButton,YearlyPlanContainer,Button,Button,plan_select_btn.png,年度套餐选择按钮,250,0,100,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,YearlyPlanSelectButton,,,,,,,"A traditional Chinese style button with soft rounded corners and subtle decorative elements. The button has a jade green gradient with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
YearlyPlanSelectLabel,YearlyPlanSelectButton,Label,,,年度套餐选择文本,0,0,100,60,0.5,0.5,255,true,1,1,0,,,,20,#FFFFFF,center,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a select button text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
RecommendedTag,YearlyPlanContainer,Sprite,,recommended_tag.png,推荐标签,-300,60,100,40,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A recommended tag in Chinese ink painting style. The tag has a traditional Chinese design with flowing brush strokes and a subtle golden tint. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BonusGiftContainer,PlansContainer,Node,,,赠品容器,0,-300,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
BonusGiftBg,BonusGiftContainer,Sprite,,bonus_gift_bg.png,赠品背景,0,0,650,150,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A bonus gift card in Chinese ink painting style. The card has a traditional scroll or plaque design with elegant brush stroke borders, red decorative elements, and subtle rice paper texture. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BonusGiftTitle,BonusGiftContainer,Label,,,赠品标题,-250,50,150,40,0,0.5,255,true,1,1,0,,,,24,#FF4500,left,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a bonus gift title text with red color, with varying thickness to create a natural handwritten appearance. The stroke has subtle red glow effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BonusGiftDesc,BonusGiftContainer,Label,,,赠品描述,-250,0,500,40,0,0.5,255,true,1,1,0,,,,20,#333333,left,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a bonus gift description text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BonusGiftIcon,BonusGiftContainer,Sprite,,bonus_gift_icon.png,赠品图标,250,0,100,100,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A bonus gift icon in Chinese ink painting style. The icon depicts a traditional Chinese gift box with flowing brush strokes and subtle red tint. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
TermsContainer,SubscriptionPage,Node,,,条款容器,0,-500,600,60,0.5,0.5,200,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
TermsText,TermsContainer,Label,,,条款文本,0,0,600,60,0.5,0.5,200,true,1,1,0,,,,16,#666666,center,none,20,,,,,,,,,,,"A horizontal ink stroke suggesting terms and conditions text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
RestoreContainer,SubscriptionPage,Node,,,恢复购买容器,0,-550,300,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
RestoreButton,RestoreContainer,Button,Button,restore_btn.png,恢复购买按钮,0,0,300,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,RestoreButton,,,,,,,"A traditional Chinese style button with soft rounded corners and subtle decorative elements. The button has a light blue gradient with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
RestoreLabel,RestoreButton,Label,,,恢复购买文本,0,0,300,60,0.5,0.5,255,true,1,1,0,,,,20,#FFFFFF,center,none,24,,,,,,,,,,,"A horizontal ink stroke suggesting a restore button text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
