节点名,父节点,类型,组件,资源,备注,pos_x,pos_y,width,height,anchor_x,anchor_y,opacity,visible,scale_x,scale_y,rotation,layout,padding,spacing,font_size,color,align,overflow,line_height,size_mode,trim,transition,zoom_scale,target,default_clip,play_on_load,default_skin,default_anim,loop,premultiplied_alpha,AI_Image_Prompt_Element_Specific
NotificationPage,,Node,,,通知中心/消息页根节点,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
NotificationBackground,NotificationPage,Sprite,,notification_bg.png,通知背景,0,0,750,1334,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A serene mountain landscape background in traditional Chinese ink painting style. The scene features misty mountains, flowing water, and subtle bamboo elements with a peaceful atmosphere. The background has soft jade green and light blue tones with gentle animation effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BackButton,NotificationPage,Button,Button,back_btn.png,返回按钮,-330,600,80,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,BackButton,,,,,,,"A traditional Chinese style back button with soft rounded corners and subtle decorative elements. The button has a jade green gradient with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
BackIcon,BackButton,Sprite,,back_icon.png,返回图标,0,0,40,40,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A back arrow icon in Chinese ink painting style. The arrow has flowing brush strokes with varying opacity. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
TitleContainer,NotificationPage,Node,,,标题容器,0,550,500,100,0.5,0.5,255,true,1,1,0,,,,,,,,,,,,,,,,,,,,"N/A"
TitleBg,TitleContainer,Sprite,,title_bg.png,标题背景,0,0,500,100,0.5,0.5,255,true,1,1,0,,,,,,,,trim,true,,,,,,,,,,"A title plaque in Chinese ink painting style. The plaque has a traditional design with elegant brush stroke borders and subtle rice paper texture. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
Title,TitleContainer,Label,,,标题,0,0,400,80,0.5,0.5,255,true,1,1,0,,,,32,#1A5F4A,center,none,36,,,,,,,,,,,"A horizontal ink stroke suggesting a title text, with varying thickness to create a natural handwritten appearance. The stroke has subtle ink wash effects. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
TabContainer,NotificationPage,Node,,,标签页容器,0,450,700,100,0.5,0.5,255,true,1,1,0,horizontal,10,20,,,,,,,,,,,,,,,,,"N/A"
SystemTab,TabContainer,Button,Button,system_tab.png,系统标签,-150,0,200,80,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,SystemTab,,,,,,,"A traditional Chinese scroll tab design in active state. The tab has elegant brush stroke borders with cloud pattern decorative elements and a jade green gradient background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
SystemLabel,SystemTab,Label,,,系统文本,0,0,180,60,0.5,0.5,255,true,1,1,0,,,,24,#FFFFFF,center,none,28,,,,,,,,,,,"A horizontal ink stroke suggesting a tab label text, with varying thickness to create a natural handwritten appearance. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
MessageTab,TabContainer,Button,Button,message_tab.png,消息标签,150,0,200,80,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.1,MessageTab,,,,,,,"A traditional Chinese scroll tab design in inactive state. The tab has elegant brush stroke borders with subtle decorative elements and a muted gray background. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
